epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,8853.43,0.28297,0.4638,0.23875,0.81918,0.62256,0.70398,0.48166,0.24224,0.32923,0.2726,6.20038e-05,6.20038e-05,6.20038e-05
40,9079.52,0.28459,0.45691,0.23751,0.77775,0.66434,0.71138,0.48501,0.24306,0.33585,0.2769,6.10039e-05,6.10039e-05,6.10039e-05
41,9307.95,0.27617,0.4559,0.22822,0.82051,0.62702,0.69816,0.47766,0.24203,0.33797,0.28333,6.0004e-05,6.0004e-05,6.0004e-05
42,9534.91,0.28099,0.44896,0.22878,0.81042,0.6564,0.71286,0.48507,0.2474,0.32239,0.28267,5.90041e-05,5.90041e-05,5.90041e-05
43,9762.32,0.28432,0.44519,0.22524,0.82701,0.6287,0.70446,0.48382,0.2472,0.31003,0.28883,5.80042e-05,5.80042e-05,5.80042e-05
44,9988.76,0.26989,0.44364,0.2213,0.82598,0.62367,0.70038,0.48257,0.2498,0.31261,0.29307,5.70043e-05,5.70043e-05,5.70043e-05
45,10216.6,0.27237,0.438,0.22537,0.78217,0.65103,0.70623,0.48703,0.24496,0.3211,0.28765,5.60044e-05,5.60044e-05,5.60044e-05
46,10443.7,0.26713,0.4326,0.2223,0.81662,0.63901,0.70289,0.48438,0.25319,0.31673,0.29866,5.50045e-05,5.50045e-05,5.50045e-05
47,10670.6,0.27151,0.43009,0.21747,0.82059,0.64356,0.70941,0.48709,0.24275,0.31665,0.29225,5.40046e-05,5.40046e-05,5.40046e-05
48,10897.4,0.26003,0.41656,0.21751,0.80948,0.64154,0.7074,0.49143,0.24342,0.30909,0.28367,5.30047e-05,5.30047e-05,5.30047e-05
49,11124.1,0.26175,0.41891,0.21904,0.7968,0.65244,0.7085,0.49296,0.24861,0.30018,0.28151,5.20048e-05,5.20048e-05,5.20048e-05
50,11352,0.27095,0.42548,0.2131,0.805,0.64308,0.70305,0.48784,0.24942,0.30272,0.28401,5.10049e-05,5.10049e-05,5.10049e-05
51,11579.7,0.26527,0.41433,0.21405,0.81024,0.63372,0.69574,0.48208,0.25234,0.30917,0.28592,5.0005e-05,5.0005e-05,5.0005e-05
52,11807.7,0.25732,0.4102,0.21387,0.803,0.62032,0.68382,0.4763,0.25436,0.31856,0.29442,4.90051e-05,4.90051e-05,4.90051e-05
53,12033.5,0.25787,0.4138,0.21045,0.81241,0.61865,0.68198,0.47735,0.25256,0.31458,0.29053,4.80052e-05,4.80052e-05,4.80052e-05
54,12260.4,0.26596,0.41404,0.20703,0.79827,0.62312,0.67816,0.47508,0.25471,0.326,0.29579,4.70053e-05,4.70053e-05,4.70053e-05
55,12489,0.25741,0.39914,0.20313,0.78302,0.6206,0.6739,0.46668,0.26189,0.33797,0.29952,4.60054e-05,4.60054e-05,4.60054e-05
56,12715.7,0.26201,0.4047,0.20118,0.802,0.62196,0.67788,0.47373,0.25637,0.33765,0.29168,4.50055e-05,4.50055e-05,4.50055e-05
57,12941.6,0.24873,0.39733,0.20547,0.809,0.62671,0.69072,0.48116,0.25405,0.32981,0.28774,4.40056e-05,4.40056e-05,4.40056e-05
58,13167.9,0.24899,0.40179,0.20372,0.77671,0.64489,0.6888,0.48279,0.25582,0.31895,0.28885,4.30057e-05,4.30057e-05,4.30057e-05
59,13395,0.25325,0.39944,0.20025,0.80566,0.62926,0.68599,0.47739,0.24954,0.34045,0.28545,4.20058e-05,4.20058e-05,4.20058e-05
60,13621.4,0.24086,0.39227,0.19253,0.80743,0.63652,0.69071,0.4822,0.25535,0.32787,0.29773,4.10059e-05,4.10059e-05,4.10059e-05
61,13847.8,0.24372,0.39323,0.19446,0.79568,0.64143,0.68788,0.47865,0.25634,0.33878,0.29555,4.0006e-05,4.0006e-05,4.0006e-05
62,14075.6,0.2484,0.39116,0.19484,0.81608,0.63819,0.69535,0.4834,0.25408,0.33163,0.29383,3.90061e-05,3.90061e-05,3.90061e-05
63,14302.4,0.24566,0.3879,0.19631,0.81561,0.63965,0.69325,0.48082,0.25351,0.32926,0.29229,3.80062e-05,3.80062e-05,3.80062e-05
64,14529.2,0.23493,0.39146,0.18996,0.80587,0.65595,0.69765,0.48472,0.24987,0.3318,0.2843,3.70063e-05,3.70063e-05,3.70063e-05
65,14755.5,0.2389,0.3852,0.19374,0.82386,0.62926,0.69027,0.47806,0.26128,0.33181,0.29895,3.60064e-05,3.60064e-05,3.60064e-05
66,14981.6,0.23353,0.38205,0.1865,0.81054,0.63484,0.68262,0.47137,0.26238,0.3305,0.30383,3.50065e-05,3.50065e-05,3.50065e-05
67,15207.5,0.23752,0.38032,0.18774,0.84451,0.61862,0.68581,0.47157,0.26031,0.32689,0.30366,3.40066e-05,3.40066e-05,3.40066e-05
68,15436.6,0.23022,0.3749,0.18537,0.82606,0.62577,0.68226,0.47046,0.26377,0.32742,0.30854,3.30067e-05,3.30067e-05,3.30067e-05
69,15663.2,0.23732,0.37765,0.18853,0.80641,0.63264,0.67732,0.46537,0.26564,0.32697,0.31148,3.20068e-05,3.20068e-05,3.20068e-05
70,15889,0.23542,0.37361,0.18386,0.80972,0.63093,0.6775,0.46718,0.26272,0.33022,0.31178,3.10069e-05,3.10069e-05,3.10069e-05
71,16115.9,0.22305,0.36928,0.17934,0.7839,0.64207,0.67954,0.47107,0.26114,0.33127,0.31123,3.0007e-05,3.0007e-05,3.0007e-05
72,16344.5,0.24448,0.37171,0.17934,0.79123,0.64657,0.67921,0.47239,0.26367,0.32961,0.30858,2.90071e-05,2.90071e-05,2.90071e-05
73,16570.6,0.23604,0.36785,0.17842,0.79343,0.64554,0.68354,0.47439,0.25908,0.32067,0.30522,2.80072e-05,2.80072e-05,2.80072e-05
74,16796.8,0.22695,0.36388,0.17588,0.79905,0.63037,0.67856,0.47374,0.25895,0.33275,0.30317,2.70073e-05,2.70073e-05,2.70073e-05
75,17024.2,0.22828,0.36799,0.17825,0.80768,0.622,0.67499,0.47019,0.25847,0.33449,0.30343,2.60074e-05,2.60074e-05,2.60074e-05
76,17250.1,0.22904,0.36475,0.17679,0.80016,0.62647,0.67592,0.46937,0.26048,0.33703,0.30502,2.50075e-05,2.50075e-05,2.50075e-05
77,17476.3,0.22411,0.35679,0.1728,0.80315,0.62417,0.67742,0.46761,0.26038,0.34005,0.30952,2.40076e-05,2.40076e-05,2.40076e-05
78,17703.9,0.22216,0.35363,0.17452,0.78264,0.63149,0.67103,0.46461,0.26325,0.34277,0.30992,2.30077e-05,2.30077e-05,2.30077e-05
79,17933,0.22445,0.35679,0.17435,0.82255,0.61341,0.67024,0.46252,0.26364,0.3459,0.31282,2.20078e-05,2.20078e-05,2.20078e-05
