epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3059.04,1.53275,1.58671,1.83404,0.69478,0.50585,0.5798,0.32618,0.86485,0.98786,1.04291,0.00295205,0.00295205,0.00295205
43,3131.88,1.5388,1.57712,1.83773,0.69192,0.51145,0.57516,0.31601,0.89424,0.9069,1.07405,0.0029021,0.0029021,0.0029021
44,3203.31,1.53157,1.57889,1.84386,0.71702,0.51638,0.58784,0.32882,0.88334,0.92461,1.06572,0.00285215,0.00285215,0.00285215
45,3275.66,1.53125,1.59315,1.84564,0.71571,0.51033,0.58799,0.32519,0.87483,0.95738,1.05293,0.0028022,0.0028022,0.0028022
46,3347.05,1.5118,1.54734,1.81708,0.71457,0.50586,0.58016,0.32221,0.87732,0.87272,1.06859,0.00275225,0.00275225,0.00275225
47,3418.37,1.49903,1.52544,1.81353,0.74197,0.5186,0.59648,0.33203,0.882,0.86935,1.06172,0.0027023,0.0027023,0.0027023
48,3490.24,1.50248,1.53227,1.81558,0.72186,0.50475,0.58987,0.3261,0.88381,0.77468,1.06911,0.00265235,0.00265235,0.00265235
49,3561.81,1.50252,1.53632,1.81687,0.7113,0.51535,0.59553,0.33655,0.86752,0.9383,1.05529,0.0026024,0.0026024,0.0026024
50,3634.14,1.49578,1.52626,1.80491,0.70746,0.51424,0.58971,0.33341,0.87847,0.94571,1.0631,0.00255245,0.00255245,0.00255245
51,3705.45,1.49554,1.50419,1.80523,0.73325,0.51926,0.60435,0.3381,0.87572,0.80217,1.05501,0.0025025,0.0025025,0.0025025
52,3780.21,1.48112,1.50039,1.80153,0.73545,0.52596,0.60397,0.34274,0.86366,1.0768,1.03557,0.00245255,0.00245255,0.00245255
53,3852.19,1.49418,1.49054,1.79331,0.72961,0.53378,0.60347,0.33738,0.87266,0.80343,1.05069,0.0024026,0.0024026,0.0024026
54,3923.64,1.47598,1.48065,1.7911,0.75102,0.53099,0.61,0.35026,0.86464,0.78746,1.04161,0.00235265,0.00235265,0.00235265
