epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1752.85,1.39944,1.52132,1.71067,0.6796,0.52261,0.58206,0.31642,0.85662,0.94498,1.06665,0.00295205,0.00295205,0.00295205
43,1793.81,1.38356,1.49724,1.71449,0.71073,0.50475,0.58589,0.31413,0.88725,0.91801,1.093,0.0029021,0.0029021,0.0029021
44,1834.79,1.38469,1.49532,1.70545,0.66486,0.5282,0.58482,0.32275,0.86942,0.90342,1.08965,0.00285215,0.00285215,0.00285215
45,1875.59,1.36354,1.47458,1.69993,0.70077,0.53743,0.6032,0.32626,0.85913,0.82474,1.07461,0.0028022,0.0028022,0.0028022
46,1916.71,1.38725,1.47195,1.70532,0.6986,0.53769,0.60104,0.33726,0.83682,0.7632,1.04886,0.00275225,0.00275225,0.00275225
47,1957.91,1.37915,1.47396,1.70153,0.7472,0.52205,0.61715,0.35185,0.8262,0.8602,1.03218,0.0027023,0.0027023,0.0027023
48,1999.08,1.36825,1.44803,1.68673,0.72388,0.52596,0.60891,0.33739,0.85517,0.78734,1.0725,0.00265235,0.00265235,0.00265235
49,2039.81,1.36012,1.45236,1.68335,0.7186,0.53601,0.61533,0.34694,0.84438,0.75749,1.06133,0.0026024,0.0026024,0.0026024
50,2080.51,1.36497,1.44525,1.6823,0.69094,0.56281,0.61991,0.34652,0.83839,0.77934,1.0447,0.00255245,0.00255245,0.00255245
51,2121.36,1.35181,1.42617,1.66718,0.72636,0.54774,0.61775,0.3478,0.83821,0.80216,1.0533,0.0025025,0.0025025,0.0025025
52,2162.42,1.34461,1.41386,1.67106,0.75689,0.50977,0.61054,0.33313,0.87222,0.83443,1.08608,0.00245255,0.00245255,0.00245255
