epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3977.94,1.43217,1.594,1.76326,0.66837,0.50363,0.56585,0.29619,0.90686,1.26204,1.12193,0.00295205,0.00295205,0.00295205
43,4071.46,1.40873,1.55738,1.75626,0.71711,0.48265,0.56856,0.30233,0.9113,0.93957,1.13231,0.0029021,0.0029021,0.0029021
44,4165.58,1.41374,1.56343,1.75318,0.70597,0.50419,0.58039,0.32679,0.83055,1.11147,1.0615,0.00285215,0.00285215,0.00285215
45,4259.44,1.39569,1.55069,1.74849,0.67992,0.4947,0.57742,0.32231,0.84317,0.81687,1.07321,0.0028022,0.0028022,0.0028022
46,4353.17,1.41248,1.53417,1.75066,0.70578,0.51699,0.5943,0.33281,0.85488,0.871,1.07816,0.00275225,0.00275225,0.00275225
47,4447.31,1.40107,1.52213,1.73949,0.67216,0.52094,0.58623,0.32603,0.8516,1.32719,1.07798,0.0027023,0.0027023,0.0027023
48,4541.23,1.38786,1.51156,1.729,0.73106,0.50085,0.58792,0.32459,0.85284,0.90074,1.08043,0.00265235,0.00265235,0.00265235
49,4634.96,1.38342,1.5161,1.72618,0.70856,0.52399,0.60531,0.34375,0.83008,0.77171,1.04513,0.0026024,0.0026024,0.0026024
50,4728.64,1.38408,1.51411,1.72456,0.70806,0.52949,0.6075,0.34073,0.85072,0.76512,1.06086,0.00255245,0.00255245,0.00255245
51,4822.52,1.37432,1.49195,1.71884,0.67813,0.5215,0.60025,0.34046,0.84666,0.8138,1.06253,0.0025025,0.0025025,0.0025025
52,4916.68,1.36697,1.47185,1.71191,0.71765,0.50977,0.59823,0.32924,0.86625,0.7909,1.08295,0.00245255,0.00245255,0.00245255
53,5010.34,1.36484,1.47527,1.71781,0.73175,0.51937,0.60897,0.34204,0.8519,0.76634,1.07129,0.0024026,0.0024026,0.0024026
54,5103.78,1.35686,1.47648,1.70817,0.73611,0.51815,0.60945,0.35276,0.81405,0.74435,1.03234,0.00235265,0.00235265,0.00235265
